,Image Path,Image Name,Origin,CL,F,JH
160,http://www.vggallery.com/painting/p_0084.htm,"[""Old Church Tower at Nuenen ('The Peasants' Churchyard')""]","Late May-early June, 1885","Amsterdam, Van Gogh Museum",84,772
161,http://www.vggallery.com/painting/p_0179r.htm,['Head of a Man'],"March-May, 1885","Amsterdam, Van Gogh Museum",179r,786
162,http://www.vggallery.com/painting/p_0161.htm,['Woman with a Mourning Shawl'],"March-May, 1885","Amsterdam, Van Gogh Museum",161,788
163,http://www.vggallery.com/painting/p_0091.htm,['Cottage'],"June, 1885","Houston, private collection",91,809
164,http://www.vggallery.com/painting/p_0089.htm,['Cottage with Peasant Woman Digging'],"June, 1885","Tokyo, Tokyo Fuji Art Museum",89,803
165,http://www.vggallery.com/painting/p_0092.htm,['Cottage with Trees'],"June, 1885",Private collection,92,810
166,http://www.vggallery.com/painting/p_0092a.htm,['Cottage with Trees'],"June, 1885",Private collection,92a,806
167,http://www.vggallery.com/painting/p_0093.htm,['Cottage with Trees'],"June, 1885",Cologne: Wallraf-Richartz-Museum,93,805
168,http://www.vggallery.com/painting/p_0187.htm,['Cottage with Trees and Peasant Woman'],"June, 1885",Private collection,187,808
169,http://www.vggallery.com/painting/p_0176.htm,['Peasant Woman by the Fireplace'],"June, 1885","New York, The Metropolitan Museum of Art",176,799
170,http://www.vggallery.com/painting/p_0158.htm,['Peasant Woman by the Fireplace'],"June, 1885","Paris, Musée d'Orsay",158,792
171,http://www.vggallery.com/painting/p_0126.htm,['Peasant Woman Sitting on a Chair'],"June, 1885","United States, private collection",126,800
172,http://www.vggallery.com/painting/p_0142.htm,['Peasant Woman Digging in Front of Her Cottage'],"June, 1885","Chicago, The Art Institute of Chicago",142,807
173,http://www.vggallery.com/painting/p_jh_add23.htm,['Cottage'],"June-July, 1885",Private collection,None,Add. 23
174,http://www.vggallery.com/painting/p_0090.htm,['Cottage and Woman with Goat'],"June-July, 1885","Frankfurt am Main, Stadelsches Kunstinstitut und Stadrische Galerie",90,823
175,http://www.vggallery.com/painting/p_1669.htm,['Cottage with Decrepit Barn and Stooping Woman'],"July, 1885",Private collection,1669,825
176,http://www.vggallery.com/painting/p_0170.htm,['Cottage with Peasant Coming Home'],"July, 1885","Mexico City, Soumaya Museum",170,824
177,http://www.vggallery.com/painting/p_0096.htm,['Two Peasant Women Digging'],"July, 1885",Private collection,96,878
178,http://www.vggallery.com/painting/p_0166.htm,['Peasant Digging'],"July-August, 1885","Otterlo, Kröller-Müller Museum",166,850
179,http://www.vggallery.com/painting/p_0094.htm,['Peasant Woman Digging'],"July-August, 1885","Den Bosch, Noordbrabants Museum",94,893
180,http://www.vggallery.com/painting/p_0095a.htm,['Peasant Woman Digging'],"August, 1885","Birmingham, Barber Institute of Fine Arts, University of Birmingham",95a,899
181,http://www.vggallery.com/painting/p_0147.htm,['Woman Lifting Potatoes'],"Late July-August, 1885","Amsterdam, Van Gogh Museum",147,891
182,http://www.vggallery.com/painting/p_0098.htm,['Peasant Woman Digging Up Potatoes'],"August, 1885","Antwerp, Koninklijk Museum voor Schone Kunsten",98,901
183,http://www.vggallery.com/painting/p_0148.htm,['Peasant Woman Laundering'],"August, 1885","Takayama, Japan: Hikaru Museum",148,908
184,http://www.vggallery.com/painting/p_0139.htm,['Peasant Woman Raking'],"August, 1885","Japan, private collection",139,905
185,http://www.vggallery.com/painting/p_0193.htm,['Sheaves of Wheat in a Field'],"August, 1885","Otterlo, Kröller-Müller Museum",193,914
186,http://www.vggallery.com/painting/p_0097.htm,['Two Peasant Women Digging Potatoes'],"August, 1885","Otterlo, Kröller-Müller Museum",97,876
187,http://www.vggallery.com/painting/p_0115.htm,['Still Life with a Basket of Apples'],"September, 1885",Private collection,115,935
188,http://www.vggallery.com/painting/p_0100.htm,['Basket of Potatoes'],"September, 1885","Amsterdam, Van Gogh Museum",100,931
189,http://www.vggallery.com/painting/p_0116.htm,['Basket of Potatoes'],"September, 1885","Amsterdam, Van Gogh Museum",116,934
190,http://www.vggallery.com/painting/p_0102.htm,"['Still Life with a Basket of Potatoes, Surrounded by Autumn Leaves and Vegetables']","September, 1885","Liege (Belgium), private collection",102,937
191,http://www.vggallery.com/painting/p_0105.htm,['Still Life with an Earthen Bowl and Pears'],"September, 1885","Utrecht, Centraal Museum (on loan from the van Baaren Museum Foundation, Utrecht)",105,926
192,http://www.vggallery.com/painting/p_0101.htm,['Basket of Apples'],"September, 1885","Amsterdam, Van Gogh Museum",101,927
193,http://www.vggallery.com/painting/p_0099.htm,['Basket of Apples'],"September, 1885","Amsterdam, Van Gogh Museum",99,930
194,http://www.vggallery.com/painting/p_0051.htm,['Still Life with Brass Cauldron and Jug'],"September, 1885","Amsterdam, Van Gogh Museum",51,925
195,http://www.vggallery.com/painting/p_0104.htm,['Still Life with Ginger Jar and Apples'],"September, 1885","United States, private collection",104,923
196,http://www.vggallery.com/painting/p_0104a.htm,['Still Life with Ginger Jar and Onions'],"September, 1885","Hamilton, McMaster Museum of Art",104a,924
197,http://www.vggallery.com/painting/p_0107.htm,['Baskets of Potatoes'],"September, 1885","Amsterdam, Van Gogh Museum",107,933
198,http://www.vggallery.com/painting/p_0059.htm,['Still Life with Two Jars and Two Pumpkins'],"September, 1885","Switzerland, private collection",59,921
199,http://www.vggallery.com/painting/p_0103.htm,['Still Life with Vegetables and Fruit'],"September, 1885","Amsterdam, Van Gogh Museum",103,928
200,http://www.vggallery.com/painting/p_0106.htm,['Still Life with a Basket of Apples and Two Pumpkins'],"September-October, 1885","Otterlo, Kröller-Müller Museum",106,936
